Unicode,KcK50l,KcK50d,KcK100l,KcK100d,ScS50d,ScS50d,KcaK50l,KcaK50d,KcaK100l,KcaK100d,ScaS50d,ScaS50d
0x0079,0.9528,0.5149253731,0.9486,0.198019802,0.9144,0.04054054054,0.9584,0.2985074627,0.9571,0.1064356436,0.9516,0.02702702703
0x30DF,0.9532,0.7070707071,0.9633,0.4072847682,0.9536,0.8103448276,0.9512,0.1515151515,0.9645,0.119205298,0.9544,0
0x004C,0.9736,0.7165354331,0.9728,0.4740061162,0.9648,0.7,0.93,0.05511811024,0.9535,0.02752293578,0.9568,0.06
0x3051,0.8924,0.4033149171,0.9339,0.3313609467,0.9512,1,0.9248,0.2154696133,0.9442,0.1420118343,0.9732,0.7058823529
0x304E,0.8904,0.5427135678,0.9173,0.3317757009,0.8676,0.5448717949,0.9036,0.1206030151,0.9249,0.09345794393,0.92,0.2435897436
0x0057,0.9128,0.7263843648,0.9234,0.4654226125,0.9228,0.7612903226,0.9048,0.348534202,0.9128,0.1767288694,0.9436,0.464516129
0x30E2,0.9192,0.5675675676,0.9169,0.1285988484,0.8828,0.25,0.908,0.1243243243,0.9303,0.01919385797,0.8996,0.1339285714
0x3082,0.9184,0.5518867925,0.9295,0.2990196078,0.9224,0.6936936937,0.914,0.179245283,0.938,0.1454248366,0.9552,0.4144144144
0x30B2,0.9024,0.4357541899,0.9299,0.2641509434,0.9088,0.5480769231,0.9244,0.1675977654,0.9383,0.07924528302,0.9372,0.1826923077
0x3064,0.9384,0.5319148936,0.9483,0.2718446602,0.9096,0.09333333333,0.9508,0.3120567376,0.9554,0.1237864078,0.9444,0.05333333333
0x30C9,0.9196,0.375,0.9342,0.09090909091,0.9576,1,0.932,0.06617647059,0.9463,0.03282828283,0.9708,0.5277777778
0x30D9,0.918,0.3538461538,0.9375,0.1292875989,0.9256,0.4366197183,0.926,0.007692307692,0.9517,0.02638522427,0.9592,0.1549295775
0x30A7,0.9284,0.4444444444,0.9548,0.2492836676,0.9232,0.05194805195,0.9536,0.2478632479,0.9655,0.1805157593,0.9448,0.1818181818
0x0062,0.914,0.4790697674,0.9392,0.3594040968,0.9528,0.7878787879,0.9332,0.3720930233,0.9449,0.1527001862,0.96,0.4545454545
0x30F7,0.896,0.4,0.9204,0.1696113074,0.896,0.34,0.898,0.05853658537,0.9286,0.04770318021,0.9396,0.22
0x30CA,0.9396,0.5736434109,0.9534,0.3638392857,0.9592,1,0.944,0.2403100775,0.9506,0.1205357143,0.9592,0.5128205128
0x3056,0.9116,0.5760869565,0.9317,0.3485617597,0.8712,0.4153846154,0.9244,0.2065217391,0.9333,0.09306260575,0.9228,0.1692307692
0x004D,0.8976,0.6241610738,0.8946,0.2836801752,0.9048,0.7058823529,0.9172,0.3825503356,0.9044,0.1248630887,0.9216,0.3006535948
0x30DA,0.9088,0.3422818792,0.9284,0.1051401869,0.9308,0.4942528736,0.9192,0.006711409396,0.9453,0.03738317757,0.9548,0.2183908046
0x30E5,0.9564,0.6293103448,0.9692,0.4523809524,0.9308,0.2222222222,0.9572,0.275862069,0.9638,0.1398809524,0.944,0.1388888889
0x0050,0.9256,0.5033112583,0.9557,0.48,0.944,0.6120689655,0.9324,0.2185430464,0.9519,0.2347826087,0.9364,0.1724137931
0x304B,0.9332,0.6751269036,0.9471,0.4569892473,0.936,0.8558558559,0.9228,0.2284263959,0.9428,0.1612903226,0.9584,0.4504504505
0x30B5,0.9376,0.6705202312,0.9582,0.5089285714,0.9488,1,0.9424,0.3815028902,0.9515,0.2375,0.936,0.476635514
0x3085,0.94,0.7535545024,0.9483,0.507154213,0.8708,0.2971014493,0.9332,0.2796208531,0.9443,0.2209856916,0.9172,0.1594202899
0x3078,0.9448,0.5145631068,0.9602,0.2666666667,0.9284,0,0.9452,0.09708737864,0.9651,0.09,0.9588,0
0x0045,0.9372,0.6557377049,0.9194,0.1851851852,0.9312,0.1481481481,0.954,0.4754098361,0.949,0.3096296296,0.9388,0.0987654321
0x30D0,0.9304,0.5213675214,0.9492,0.3,0.9508,0.9402985075,0.9468,0.1538461538,0.9617,0.1277777778,0.958,0.1044776119
0x3090,0.9032,0.6267605634,0.9109,0.3705463183,0.9084,0.7757575758,0.8928,0.2429577465,0.917,0.1805225653,0.9196,0.303030303
0x0035,0.914,0.4416243655,0.9303,0.2610015175,0.9316,0.4823529412,0.9096,0.1319796954,0.9354,0.1380880121,0.9496,0.1529411765
0x30C0,0.9188,0.6262135922,0.9343,0.4750402576,0.9,0.5983606557,0.926,0.2475728155,0.9398,0.1787439614,0.9432,0.3278688525
0x30BD,0.9756,0.8224299065,0.9731,0.5014925373,0.9456,0.5762711864,0.9724,0.3831775701,0.972,0.2268656716,0.9668,0.186440678
0x308D,0.9004,0.5706806283,0.9271,0.3600682594,0.926,0.8130841121,0.9412,0.3246073298,0.9386,0.1433447099,0.9472,0.3177570093
0x3043,0.9664,0.7037037037,0.9744,0.4323308271,0.9352,0.2950819672,0.9728,0.2839506173,0.9752,0.1766917293,0.9656,0.1475409836
0x30ED,0.948,0.6607142857,0.9214,0.1366120219,0.91,0.4259259259,0.9292,0.2202380952,0.938,0.1074681239,0.9324,0.1851851852
0x005A,0.9508,0.7516339869,0.9623,0.5048543689,0.958,0.6020408163,0.9336,0.2679738562,0.9411,0.1569579288,0.9424,0.1224489796
0x0077,0.9,0.443438914,0.9017,0.1289398281,0.9064,0.24,0.8904,0.09502262443,0.9177,0.04011461318,0.9252,0.02
0x306E,0.9364,0.7280701754,0.9475,0.4971988796,0.8916,0.5038167939,0.9204,0.2719298246,0.9335,0.1960784314,0.9184,0.1755725191
0x3071,0.8696,0.5099337748,0.8921,0.2744360902,0.8604,0.5117647059,0.8888,0.2185430464,0.9196,0.179197995,0.9036,0.2823529412
0x006C,0.9976,1,0.9875,0.9109589041,0.9792,0.9487179487,0.9712,0.4444444444,0.9838,0.4452054795,0.9756,0.1538461538
0x30AF,0.9452,0.6405228758,0.9528,0.4091954023,0.9544,0.9166666667,0.9492,0.3137254902,0.9568,0.1885057471,0.9696,0.5119047619
0x0059,0.9764,0.8550724638,0.9722,0.5474452555,0.9648,0.953125,0.972,0.5072463768,0.9672,0.2481751825,0.9724,0.515625
0x30EA,0.9464,0.5426356589,0.9571,0.2610169492,0.9596,1,0.9524,0.2403100775,0.9618,0.06101694915,0.9764,0.6507936508
0x3046,0.9228,0.375,0.944,0.216080402,0.9648,0.9577464789,0.9388,0.1,0.9534,0.09296482412,0.978,0.5070422535
0x30BA,0.8956,0.4365482234,0.9266,0.2818336163,0.8952,0.5092592593,0.9156,0.1573604061,0.9343,0.09847198642,0.942,0.2777777778
0x308A,0.8992,0.2481751825,0.9356,0.1181318681,0.9516,0.925,0.9236,0.1094890511,0.9535,0.06043956044,0.9744,0.5
0x3068,0.9116,0.3716216216,0.936,0.2136929461,0.9548,0.9382716049,0.9304,0.1418918919,0.9457,0.09543568465,0.9632,0.3456790123
0x0030,0.9332,0.5858585859,0.939,0.3485086342,0.9444,0.7738095238,0.9248,0.2676767677,0.9373,0.1538461538,0.9532,0.2976190476
0x3095,0.916,0.4510869565,0.9237,0.1351351351,0.9048,0.3333333333,0.9284,0.1847826087,0.9418,0.08108108108,0.952,0.2903225806
0x30C5,0.932,0.6137931034,0.9423,0.2904761905,0.9152,0.5205479452,0.9452,0.2206896552,0.9572,0.1357142857,0.9604,0.2054794521
0x305B,0.8944,0.4766839378,0.9151,0.2057761733,0.9396,0.9921259843,0.9116,0.2279792746,0.9281,0.05415162455,0.9388,0.3464566929
0x30D5,0.936,0.5447761194,0.9508,0.2840095465,0.932,0.2837837838,0.9468,0.223880597,0.9523,0.09546539379,0.944,0.04054054054
0x30AC,0.924,0.6933962264,0.9392,0.4461778471,0.9088,0.6838235294,0.9192,0.25,0.9427,0.2215288612,0.92,0.1911764706
0x30E9,0.9376,0.5889570552,0.9493,0.3656565657,0.9184,0.3522727273,0.9288,0.1717791411,0.9444,0.09696969697,0.932,0.1136363636
0x006F,0.9252,0.3774834437,0.9463,0.248434238,0.9212,0.1518987342,0.9304,0.1456953642,0.9514,0.1419624217,0.9476,0.06329113924
0x3089,0.8948,0.3353293413,0.9332,0.259047619,0.954,0.9772727273,0.9416,0.2694610778,0.9404,0.0819047619,0.958,0.3068181818
0x30B9,0.9424,0.6494252874,0.9557,0.4674556213,0.902,0.2666666667,0.9196,0.1034482759,0.9506,0.1735700197,0.9356,0.06666666667
0x3074,0.8696,0.6142857143,0.9124,0.3540372671,0.8964,0.7197452229,0.9008,0.2357142857,0.9155,0.1316770186,0.9388,0.4267515924
0x0072,0.938,0.1098901099,0.9676,0.2427184466,0.9708,0.4411764706,0.956,0.06593406593,0.9681,0.09708737864,0.9792,0.2647058824
0x307E,0.9092,0.6529680365,0.9237,0.3844011142,0.8928,0.6274509804,0.9248,0.3470319635,0.9271,0.1880222841,0.9468,0.6339869281
0x0067,0.8612,0.1821705426,0.8963,0.07542262679,0.8948,0.2096774194,0.8768,0.07751937984,0.9121,0.03771131339,0.9276,0.1209677419
0x30F2,0.9272,0.5628742515,0.9431,0.3326133909,0.9064,0.4038461538,0.9352,0.2574850299,0.9512,0.1684665227,0.924,0.1923076923
0x30A2,0.9312,0.5231788079,0.9442,0.2794457275,0.9236,0.4756097561,0.94,0.1986754967,0.955,0.1454965358,0.9484,0.1829268293
0x0049,0.9936,0.9444444444,0.9736,0.7020547945,0.976,1,0.9944,0.8055555556,0.9776,0.2328767123,0.9728,0.4696969697
0x0039,0.9436,0.6584158416,0.9508,0.4698412698,0.948,0.7717391304,0.9132,0.1683168317,0.9342,0.1126984127,0.9532,0.2717391304
